date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,greatest losses direction,vehicles and fuel tanks,cruise missiles,submarines,personnel
2025-03-16,1117,370,331,10325,21478,24561,1317,0,0,29413,28,1104,3777,0,0,40684,3121,1,894240
2025-03-15,1116,370,331,10315,21458,24483,1315,0,0,29233,28,1103,3777,0,0,40571,3121,1,892840
2025-03-14,1115,370,331,10313,21443,24455,1314,0,0,29136,28,1103,3777,0,0,40469,3121,1,891660
2025-03-13,1114,370,331,10307,21432,24409,1314,0,0,28983,28,1103,3777,0,0,40355,3121,1,890250
2025-03-12,1113,370,331,10306,21430,24390,1314,0,0,28912,28,1103,3777,0,0,40274,3121,1,889050
2025-03-11,1112,370,331,10303,21423,24346,1313,0,0,28801,28,1103,3775,0,0,40205,3121,1,887620
2025-03-10,1111,370,331,10292,21400,24271,1311,0,0,28603,28,1102,3773,0,0,40071,3120,1,886320
2025-03-09,1110,370,331,10274,21360,24206,1310,0,0,28362,28,1101,3773,0,0,39933,3120,1,885130
2025-03-08,1109,370,331,10268,21346,24148,1307,0,0,28172,28,1099,3772,0,0,39791,3120,1,883950
2025-03-07,1108,370,331,10264,21334,24124,1306,0,0,28024,28,1096,3769,0,0,39678,3085,1,882950
2025-03-06,1107,370,331,10261,21311,24108,1306,0,0,27929,28,1096,3769,0,0,39606,3085,1,881800
2025-03-05,1106,370,331,10256,21304,24087,1306,0,0,27849,28,1094,3769,0,0,39512,3085,1,880660
2025-03-04,1105,370,331,10255,21298,24064,1306,0,0,27741,28,1094,3768,0,0,39428,3085,1,879410
2025-03-03,1104,370,331,10252,21290,24019,1306,0,0,27655,28,1093,3768,0,0,39327,3085,1,878070
2025-03-02,1103,370,331,10241,21274,23959,1306,0,0,27594,28,1091,3768,0,0,39218,3085,1,876720
2025-03-01,1102,370,331,10233,21249,23908,1304,0,0,27402,28,1088,3763,0,0,39101,3085,1,875610
2025-02-28,1101,370,331,10222,21234,23847,1303,0,0,27274,28,1087,3763,0,0,38994,3085,1,874560
2025-02-27,1100,370,331,10209,21196,23755,1299,0,0,27102,28,1086,3760,0,0,38842,3064,1,871850
2025-02-26,1099,370,331,10201,21183,23686,1299,0,0,26961,28,1085,3759,0,0,38702,3064,1,870700
2025-02-25,1098,370,331,10182,21168,23652,1299,0,0,26767,28,1083,3759,0,0,38582,3064,1,869530
2025-02-24,1097,370,331,10177,21157,23626,1299,0,0,26645,28,1081,3757,0,0,38444,3064,1,868230
2025-02-23,1096,370,331,10168,21151,23582,1296,0,0,26428,28,1081,3757,0,0,38334,3064,1,867180
2025-02-22,1095,370,331,10161,21139,23528,1295,0,0,26311,28,1080,3754,0,0,38234,3064,1,866000
2025-02-21,1094,370,331,10146,21130,23462,1295,0,0,26156,28,1080,3753,0,0,38104,3064,1,864860
2025-02-20,1093,370,331,10134,21112,23410,1291,0,0,26021,28,1078,3752,0,0,37961,3064,1,863580
2025-02-19,1092,370,331,10120,21098,23347,1288,0,0,25861,28,1072,3752,0,0,37825,3064,1,862390
2025-02-18,1091,370,331,10101,21075,23275,1285,0,0,25686,28,1068,3751,0,0,37679,3064,1,861090
2025-02-17,1090,370,331,10089,21063,23222,1283,0,0,25505,28,1067,3750,0,0,37605,3063,1,859920
2025-02-16,1089,370,331,10073,21011,23185,1283,0,0,25377,28,1067,3749,0,0,37456,3063,1,858390
2025-02-15,1088,370,331,10068,20927,23174,1283,0,0,25341,28,1067,3747,0,0,37379,3063,1,856660
2025-02-14,1087,370,331,10057,20910,23115,1282,0,0,25224,28,1066,3745,0,0,37252,3063,1,855480
2025-02-13,1086,370,331,10040,20894,23034,1278,0,0,25072,28,1063,3744,0,0,37096,3063,1,854280
2025-02-12,1085,370,331,10023,20871,22976,1276,0,0,24919,28,1061,3742,0,0,36928,3057,1,853030
2025-02-11,1084,370,331,10014,20844,22923,1275,0,0,24755,28,1060,3741,0,0,36807,3056,1,851880
2025-02-10,1083,370,331,10001,20813,22879,1273,0,0,24623,28,1059,3740,0,0,36638,3054,1,850490
2025-02-09,1082,370,331,9992,20797,22844,1273,0,0,24486,28,1056,3739,0,0,36529,3054,1,849320
2025-02-08,1081,369,331,9981,20777,22820,1273,0,0,24403,28,1056,3738,0,0,36402,3054,1,847860
2025-02-07,1080,369,331,9975,20755,22785,1271,0,0,24301,28,1056,3738,0,0,36307,3054,1,846650
2025-02-06,1079,369,331,9965,20737,22753,1271,0,0,24185,28,1055,3737,0,0,36211,3054,1,845310
2025-02-05,1078,369,331,9947,20721,22707,1269,0,0,24102,28,1053,3735,0,0,36078,3054,1,844070
2025-02-04,1077,369,331,9938,20709,22655,1269,0,0,24003,28,1053,3733,0,0,35921,3054,1,842930
2025-02-03,1076,369,331,9920,20685,22589,1268,0,0,23911,28,1053,3731,0,0,35798,3054,1,841660
2025-02-02,1075,369,331,9908,20667,22538,1267,0,0,23793,28,1050,3729,0,0,35709,3054,1,840360
2025-02-01,1074,369,331,9902,20653,22493,1266,0,0,23694,28,1050,3727,0,0,35629,3054,1,839040
2025-01-31,1073,369,331,9893,20631,22445,1265,0,0,23573,28,1050,3726,0,0,35552,3054,1,837610
2025-01-30,1072,369,331,9890,20614,22412,1264,0,0,23510,28,1050,3725,0,0,35451,3054,1,835940
2025-01-29,1071,369,331,9886,20597,22395,1264,0,0,23456,28,1050,3721,0,0,35366,3054,1,834670
2025-01-28,1070,369,331,9876,20573,22366,1263,0,0,23399,28,1050,3718,0,0,35269,3053,1,833000
2025-01-27,1069,369,331,9871,20561,22339,1263,0,0,23327,28,1050,3716,0,0,35183,3053,1,831620
2025-01-26,1068,369,331,9868,20549,22323,1263,0,0,23253,28,1050,3715,0,0,35124,3053,1,830190
2025-01-25,1067,369,331,9859,20545,22309,1263,0,0,23213,28,1050,3715,0,0,35071,3053,1,828470
2025-01-24,1066,369,331,9852,20508,22295,1263,0,0,23162,28,1050,3715,0,0,34992,3051,1,826820
2025-01-23,1065,369,331,9850,20497,22256,1262,0,0,23111,28,1050,3714,0,0,34905,3051,1,825320
2025-01-22,1064,369,331,9844,20485,22194,1262,0,0,23039,28,1050,3711,0,0,34837,3051,1,823980
2025-01-21,1063,369,331,9833,20477,22134,1262,0,0,22898,28,1050,3710,0,0,34682,3051,1,822030
2025-01-20,1062,369,331,9821,20454,22074,1262,0,0,22768,28,1049,3706,0,0,34488,3051,1,820430
2025-01-19,1061,369,331,9811,20412,22055,1262,0,0,22615,28,1046,3700,0,0,34401,3051,1,818740
2025-01-18,1060,369,331,9803,20394,22040,1262,0,0,22579,28,1046,3699,0,0,34325,3049,1,817160
2025-01-17,1059,369,331,9803,20381,22019,1262,0,0,22566,28,1046,3699,0,0,34256,3049,1,815820
